Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-11-20 17:51:23,false,"Linkoping Running","5.88","365","00:35:01","159","188","3.4","170","191","5:58","3:59","31","32","0.99","0.0","0.0","0.0","0.0","0.0","35:01","0:00","0.0","0:00","No","06:08.56","3","0.0"
Running,2020-11-18 09:23:49,false,"Norrköping Running","14.11","1,022","01:37:26","162","184","3.9","161","242","6:54","5:06","111","112","0.90","0.0","0.0","0.0","0.0","0.0","1:37:26","0:00","0.0","0:00","No","11:26.94","3","0.0"
Running,2020-11-16 19:40:58,false,"Norrköping Running","1.41","97","00:19:56","111","155","1.3","133","203","14:11","7:14","1,617","1,593","0.53","0.0","0.0","0.0","0.0","0.0","19:56","0:00","0.0","0:00","No","19:56.47","1","0.0"
Running,2020-11-16 18:38:28,false,"Norrköping Running","5.74","308","00:35:28","140","169","2.4","166","175","6:11","5:05","24","44","0.97","0.0","0.0","0.0","0.0","0.0","35:28","0:00","0.0","0:00","No","35:28.08","1","0.0"
Running,2020-11-15 13:22:47,false,"Norrköping Running","5.54","319","00:35:01","150","184","2.9","167","191","6:20","3:48","26","29","0.94","0.0","0.0","0.0","0.0","0.0","35:01","0:00","0.0","0:00","No","01:03.81","7","0.0"
Running,2020-11-14 11:07:16,false,"Norrköping Running","18.27","1,378","02:17:10","163","191","4.2","159","249","7:30","5:05","204","236","0.84","0.0","0.0","0.0","0.0","0.0","2:17:10","0:00","0.0","0:00","No","02:17:10.44","1","0.0"
Cycling,2020-11-13 12:50:20,false,"Norrköping Cycling","21.12","485","01:00:37","136","168","2.1","--","--","20.9","33.3","81","90","0.00","0.0","0.0","0.0","0.0","0.0","1:00:37","0:00","0.0","0:00","No","03:38.19","5","0.0"
Running,2020-11-12 07:59:37,false,"Norrköping Running","9.08","565","01:00:15","153","173","3.0","167","177","6:38","5:36","95","94","0.90","0.0","0.0","0.0","0.0","0.0","1:00:15","0:00","0.0","0:00","No","01:00:15.16","1","0.0"
Running,2020-11-10 18:11:57,false,"Norrköping Running","10.99","552","01:10:38","138","172","2.2","167","227","6:26","5:31","64","67","0.93","0.0","0.0","0.0","0.0","0.0","1:10:38","0:00","0.0","0:00","No","01:10:38.31","1","0.0"
Running,2020-11-09 18:05:05,false,"Norrköping Running","9.69","535","00:52:59","159","180","3.5","170","184","5:28","3:55","50","48","1.07","0.0","0.0","0.0","0.0","0.0","52:59","0:00","0.0","0:00","No","00:02.66","14","0.0"
Running,2020-11-09 17:45:04,false,"Norrköping Running","2.55","145","00:15:24","146","177","2.2","169","177","6:03","5:24","5","8","0.98","0.0","0.0","0.0","0.0","0.0","15:24","0:00","0.0","0:00","No","15:24.20","1","0.0"
Running,2020-11-08 16:18:39,false,"Norrköping Running","3.34","205","00:22:44","145","174","2.4","165","178","6:48","6:11","4","31","0.89","0.0","0.0","0.0","0.0","0.0","22:44","0:00","0.0","0:00","No","22:44.09","1","0.0"
Running,2020-11-08 16:07:22,false,"Norrköping Running","0.07","50","00:07:02.6","124","136","1.2","124","133","--","14:53","--","--","0.08","0.0","0.0","0.0","0.0","0.0","7:02.6","0:00","0.0","0:00","No","07:02.57","1","0.0"
Running,2020-11-08 15:49:01,false,"Norrköping Running","0.08","50","00:07:16.7","124","140","1.2","118","139","--","16:23","--","--","0.09","0.0","0.0","0.0","0.0","0.0","7:16.7","0:00","0.0","0:00","No","07:16.72","1","0.0"
Running,2020-11-08 15:26:03,false,"Norrköping Running","3.29","175","00:20:54","139","159","2.2","169","178","6:22","5:24","30","--","0.93","0.0","0.0","0.0","0.0","0.0","20:54","0:00","0.0","0:00","No","20:54.01","1","0.0"
Running,2020-11-07 14:34:24,false,"Eksjö Running","9.32","622","01:05:57","151","193","3.8","165","177","7:05","5:46","44","114","0.86","0.0","0.0","0.0","0.0","0.0","1:05:57","0:00","0.0","0:00","No","01:05:56.59","1","0.0"
Running,2020-11-06 12:04:31,false,"Eksjö Running","14.83","1,015","01:35:37","163","194","4.3","164","244","6:27","5:10","82","82","0.95","0.0","0.0","0.0","0.0","0.0","1:35:37","0:00","0.0","0:00","No","02:01.69","9","0.0"
Running,2020-11-05 16:28:50,false,"Eksjö Running","13.28","767","01:20:02","149","178","3.7","167","178","6:02","4:32","77","77","0.99","0.0","0.0","0.0","0.0","0.0","1:20:02","0:00","0.0","0:00","No","01:20:01.53","1","0.0"
Running,2020-11-03 19:03:27,false,"Eksjö Running","9.97","532","01:05:55","138","162","2.2","167","173","6:37","6:05","65","63","0.91","0.0","0.0","0.0","0.0","0.0","1:05:55","0:00","0.0","0:00","No","01:05:54.87","1","0.0"
Running,2020-11-02 16:15:58,false,"Eksjö Running","10.11","568","01:00:03","153","181","3.5","167","185","5:57","4:19","57","55","1.00","0.0","0.0","0.0","0.0","0.0","1:00:03","0:00","0.0","0:00","No","02:00.00","10","0.0"
Running,2020-11-01 11:48:22,false,"Eksjö Running","16.21","833","01:40:02","145","175","3.1","167","177","6:10","5:35","86","108","0.97","0.0","0.0","0.0","0.0","0.0","1:40:02","0:00","0.0","0:00","No","01:40:01.52","1","0.0"
Running,2020-10-31 14:55:49,false,"Vaxjo Running","2.52","173","00:17:00","156","172","2.6","164","218","6:44","5:37","15","11","0.91","0.0","0.0","0.0","0.0","0.0","17:00","0:00","0.0","0:00","No","17:00.46","1","0.0"
Running,2020-10-31 14:17:56,false,"Vaxjo Running","4.94","423","00:34:52","178","191","4.3","159","247","7:03","4:50","40","47","0.89","0.0","0.0","0.0","0.0","0.0","34:52","0:00","0.0","0:00","No","00:22.05","2","0.0"
Running,2020-10-31 13:45:07,false,"Vaxjo Running","2.90","167","00:18:37","139","173","2.2","163","175","6:24","5:14","5","3","0.96","0.0","0.0","0.0","0.0","0.0","18:37","0:00","0.0","0:00","No","18:36.81","1","0.0"
Running,2020-10-29 17:16:27,false,"Norrköping Running","9.22","511","01:00:01","141","176","2.5","166","175","6:30","4:40","46","49","0.93","0.0","0.0","0.0","0.0","0.0","1:00:01","0:00","0.0","0:00","No","01:00:01.41","1","0.0"
Running,2020-10-28 18:54:42,false,"Norrköping Running","8.73","509","00:56:10","145","166","2.8","165","173","6:26","5:39","30","39","0.94","0.0","0.0","0.0","0.0","0.0","56:10","0:00","0.0","0:00","No","56:09.92","1","0.0"
Running,2020-10-27 17:46:44,false,"Norrköping Running","7.91","819","01:10:01","169","186","4.8","145","248","8:51","5:21","63","65","0.78","0.0","0.0","0.0","0.0","0.0","1:10:01","0:00","0.0","0:00","No","02:40.58","2","0.0"
